reference,plan,name,document-url,documentation-url,document-types
liverpool-local-plan-2013-2033-12,liverpool-local-plan-2013-2033,Download this document: Strategic Environmental Assessment Adoption Statement,https://liverpool.gov.uk/media/coqpwiv5/liverpool-local-plan-sea-adoption-statement.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,adoption-statement
liverpool-local-plan-2013-2033-13,liverpool-local-plan-2013-2033,"Download this document: Habitats Regulations Assessment (HRA) - Main modifications, February 2021",https://liverpool.gov.uk/media/u3jjsrn4/local-plan-main-mods-hra-final-for-consultation-v2.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,strategic-flood-risk-assessment
liverpool-local-plan-2013-2033-14,liverpool-local-plan-2013-2033,Download this document: Local Plan Policies Map,https://liverpool.gov.uk/media/42aitxg2/liverpool-prop-map_lo.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-15,liverpool-local-plan-2013-2033,Download this document: Local Plan Inset Map (City Centre),https://liverpool.gov.uk/media/3fmd4ebf/liverpool-inset-map_lov3.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-16,liverpool-local-plan-2013-2033,Download this document: Report on the Examination of the Liverpool Local Plan 2013-2033,https://liverpool.gov.uk/media/wgae4hp0/liverpool-final-report.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,area-action-plan
liverpool-local-plan-2013-2033-17,liverpool-local-plan-2013-2033,Download this document: Appendix 1 - Schedule of Main Modifications (original version),https://liverpool.gov.uk/media/5ddh3edd/appendix-1-schedule-of-main-modifications_.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,site-allocations
liverpool-local-plan-2013-2033-18,liverpool-local-plan-2013-2033,Download this document: Appendix 1 - Schedule of Main Modifications (accessible version),https://liverpool.gov.uk/media/lvkhzoga/appendix-1-schedule-of-main-modifications-accessible-version.docx,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,site-allocations
liverpool-local-plan-2013-2033-19,liverpool-local-plan-2013-2033,Download this document: Appendix 2 - Appendices to the Main Modifications Schedule 2 (original version),https://liverpool.gov.uk/media/dimpd3dc/appendix-2-appendices-to-the-mm-schedule-2-not-accessible.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,site-allocations
liverpool-local-plan-2013-2033-20,liverpool-local-plan-2013-2033,Download this document: Appendix 2 - Appendices to the Main Modifications Schedule 2 (accessible version),https://liverpool.gov.uk/media/kaajenv1/appendix-2-appendices-to-the-main-modifications-schedule-2-accessible-version.pdf,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,site-allocations
liverpool-local-plan-2013-2033-21,liverpool-local-plan-2013-2033,View the Joint Merseyside and Halton Waste Local Plan,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/local-plan-supplementary-documents-and-guidance/joint-waste-plan/,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
liverpool-local-plan-2013-2033-22,liverpool-local-plan-2013-2033,Local Plan supplementary documents and guidance,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/local-plan-supplementary-documents-and-guidance/,https://liverpool.gov.uk/planning-and-building-control/plan-making-in-liverpool/the-liverpool-local-plan-2013-2033/,local-plan
southampton_city_centre_action_plan-1,southampton_city_centre_action_plan,The City Centre Action Plan,https://www.southampton.gov.uk/media/3bidvj1w/ccap-18-march-2015_tcm63-371356.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,local-plan
southampton_city_centre_action_plan-2,southampton_city_centre_action_plan,City centre policies map,https://www.southampton.gov.uk/media/iqaljdvp/ccap-policies-map-april-2015_tcm63-372117.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,policies-map
southampton_city_centre_action_plan-3,southampton_city_centre_action_plan,Sustainability Appraisal Report,https://www.southampton.gov.uk/media/haabbbay/final-sustainability-statement-ccap-09-03-2015_tcm63-371358.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,sustainability-apprasial
southampton_city_centre_action_plan-4,southampton_city_centre_action_plan,Habitats Regulation Assessment Report,https://www.southampton.gov.uk/media/rojdircj/adoption-hra-schedule-18-03-2015_tcm63-371352.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,inspectors-report
southampton_city_centre_action_plan-5,southampton_city_centre_action_plan,The Adoption Statement,https://www.southampton.gov.uk/media/hlnj0mlr/adoption-statement-ccap-cspr-13-03-2015_tcm63-371353.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,adoption-statement
southampton_city_centre_action_plan-6,southampton_city_centre_action_plan,Tables of policies applying to site in Southampton,https://www.southampton.gov.uk/media/wudpwkii/table-of-policies-applying-to-sites-in-southampton_tcm63-372828.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,policies-map
southampton_city_centre_action_plan-7,southampton_city_centre_action_plan,The City Centre Master Plan,https://www.southampton.gov.uk/media/bmphvrs5/city_centre_master_plan_tcm63-365870.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/city-centre-action-plan/,local-plan
braintree-district-local-plan-2033-1,braintree-district-local-plan-2033,'What is the Development Plan?,https://www.braintree.gov.uk/planning-building-control/braintree-district-development-plan?documentId=258&categoryId=20010,https://www.braintree.gov.uk/planning-building-control/local-plan-2033,local-plan
isles-of-scilly-local-plan-2015-2030-1,isles-of-scilly-local-plan-2015-2030,Isles of Scilly Local Plan (2015-2030),https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Website%20Version_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-2,isles-of-scilly-local-plan-2015-2030,,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Website%20Version_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-3,isles-of-scilly-local-plan-2015-2030,"Cover,'Foreword'and'Introduction",https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Intro%20Chapter_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,site-allocations
isles-of-scilly-local-plan-2015-2030-4,isles-of-scilly-local-plan-2015-2030,Spatial Portrait,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Spatial%20Portrait_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,sustainability-apprasial
isles-of-scilly-local-plan-2015-2030-5,isles-of-scilly-local-plan-2015-2030,Key Issues and Challenges,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Key%20Issues%20and%20Challenges.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-6,isles-of-scilly-local-plan-2015-2030,Spatial Vision and Strategy,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Spatial%20Vision%20and%20Strategy.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,core-strategy
isles-of-scilly-local-plan-2015-2030-7,isles-of-scilly-local-plan-2015-2030,Promoting a Sustainable Scilly,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Promoting%20a%20Sustainable%20Scilly.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,sustainability-apprasial
isles-of-scilly-local-plan-2015-2030-8,isles-of-scilly-local-plan-2015-2030,Our Outstanding Environment,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Our%20Outstanding%20Environment_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,adoption-statement
isles-of-scilly-local-plan-2015-2030-9,isles-of-scilly-local-plan-2015-2030,,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Our%20Outstanding%20Environment.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-10,isles-of-scilly-local-plan-2015-2030,Building a Strong Living Community,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Building%20a%20Strong%20Living%20Community_2.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,area-action-plan
isles-of-scilly-local-plan-2015-2030-11,isles-of-scilly-local-plan-2015-2030,Building a Strong Working Community,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Building%20a%20Strong%20Working%20Community.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,inspectors-report
isles-of-scilly-local-plan-2015-2030-12,isles-of-scilly-local-plan-2015-2030,Policies Map St Mary's,https://www.scilly.gov.uk/sites/default/files/planning-apps/St%20Mary%27s.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,policies-map
isles-of-scilly-local-plan-2015-2030-13,isles-of-scilly-local-plan-2015-2030,Policies Map -'St Martins,https://www.scilly.gov.uk/sites/default/files/planning-apps/St%20Martins.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,policies-map
isles-of-scilly-local-plan-2015-2030-14,isles-of-scilly-local-plan-2015-2030,Policies Map -'St Agnes,https://www.scilly.gov.uk/sites/default/files/planning-apps/St%20Agnes.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,policies-map
isles-of-scilly-local-plan-2015-2030-15,isles-of-scilly-local-plan-2015-2030,Policies Map - Bryher and Tresco,https://www.scilly.gov.uk/sites/default/files/planning-apps/Tresco%20and%20Bryher.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,policies-map
isles-of-scilly-local-plan-2015-2030-16,isles-of-scilly-local-plan-2015-2030,Policies Map - All Islands,https://www.scilly.gov.uk/sites/default/files/planning-apps/All%20Islands.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,policies-map
isles-of-scilly-local-plan-2015-2030-17,isles-of-scilly-local-plan-2015-2030,Inspector's Report,https://www.scilly.gov.uk/sites/default/files/planning-apps/Inspectors%20Final%20Report%20and%20appendix_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,inspectors-report
isles-of-scilly-local-plan-2015-2030-18,isles-of-scilly-local-plan-2015-2030,Adoption Statement,https://www.scilly.gov.uk/sites/default/files/planning-apps/ADOPTION%20STATEMENT.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,adoption-statement
isles-of-scilly-local-plan-2015-2030-19,isles-of-scilly-local-plan-2015-2030,Final Sustainability Appraisal and Adoption Statement,https://www.scilly.gov.uk/sites/default/files/planning-apps/SA%20Adoption%20Statement%20-%20Final.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,adoption-statement
isles-of-scilly-local-plan-2015-2030-20,isles-of-scilly-local-plan-2015-2030,,https://www.scilly.gov.uk/sites/default/files/document/planning/UPDATED%20SCI%20June%202024%20FC%20Version.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-21,isles-of-scilly-local-plan-2015-2030,,https://www.scilly.gov.uk/sites/default/files/planning-apps/LDS%202024.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
isles-of-scilly-local-plan-2015-2030-22,isles-of-scilly-local-plan-2015-2030,UPDATED Statement of Community Involvement June 2024,https://www.scilly.gov.uk/sites/default/files/document/planning/UPDATED%20SCI%20June%202024%20FC%20Version_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,adoption-statement
isles-of-scilly-local-plan-2015-2030-23,isles-of-scilly-local-plan-2015-2030,Adopted Local Plan 2015-2030,https://www.scilly.gov.uk/sites/default/files/document/planning/Adopted%20Local%20Plan%202015-2030%20Website%20Version_0.pdf,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,local-plan
local-plan-1991-2011-1,local-plan-1991-2011,Policy advice note (PDF ),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/policy-advice-note.pdf?sfvrsn=81473c9e_8,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/local-plan-1991-2011,policies-map
local-plan-1991-2011-2,local-plan-1991-2011,Correction sheet to the Adopted Local Plan - a list of corrections to various text and maps in the plan (PDF ),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/correction-sheet-to-the-adopted-local-plan---a-list-of-corrections-to-various-text-and-maps-in-the-plan-(pdf-967kb).pdf?sfvrsn=a9b7ed9f_0,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/local-plan-1991-2011,area-action-plan
local-plan-1991-2011-3,local-plan-1991-2011,Supplementary Planning Guidance and Supplementary Planning Documents,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/supplementary-planning-documents-(spds),https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/local-plan-1991-2011,supplementary-planning-documents
Southampton_Core_Strategy_Partial_Review-1,Southampton_Core_Strategy_Partial_Review,Core Strategy Partial Review,https://www.southampton.gov.uk/media/la5jz3fr/core-strategy-partial-review-final-march-2015_tcm63-371357.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/cspr/,core-strategy
Southampton_Core_Strategy_Partial_Review-2,Southampton_Core_Strategy_Partial_Review,Adoption Statement,https://www.southampton.gov.uk/media/hlnj0mlr/adoption-statement-ccap-cspr-13-03-2015_tcm63-371353.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/cspr/,adoption-statement
coventry-local-plan-2011-2031-1,coventry-local-plan-2011-2031,Planning Inspectors Report,https://www.coventry.gov.uk/downloads/file/25615/coventry_local_plan_final_report_2017,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031,inspectors-report
coventry-local-plan-2011-2031-2,coventry-local-plan-2011-2031,Local Plan,https://www.coventry.gov.uk/downloads/file/25899/final_local_plan_december_2017,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031,local-plan
coventry-city-centre-area-action-plan-1,coventry-city-centre-area-action-plan,City Centre Area Action Plan.,https://www.coventry.gov.uk/downloads/file/25900/final_aap_december_2017,https://www.coventry.gov.uk/planning-policy/coventry-local-plan-2011-2031/4,area-action-plan
core-strategy-1,core-strategy,Adopted Core Strategy 2013 (PDF 7 MB),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adopted-core-strategy-2013.pdf?sfvrsn=80753a9e_2,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/core-strategy,core-strategy
core-strategy-2,core-strategy,Adoption Notice (PDF 21 KB),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/adoption-notice-(pdf).pdf?sfvrsn=74e4f39f_0,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/core-strategy,adoption-statement
core-strategy-3,core-strategy,Sustainability Appraisal adoption statement (PDF ),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/sustainability-appraisal-adoption-statement-(501kb).pdf?sfvrsn=712ef29f_0,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/core-strategy,adoption-statement
core-strategy-4,core-strategy,Schedule of saved policies (PDF ),https://www.dacorum.gov.uk/docs/default-source/strategic-planning/schedule-of-saved-policies-(pdf-106kb).pdf?sfvrsn=e00df19f_0,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/core-strategy,policies-map
new-single-local-plan-1,new-single-local-plan,Strategic Planning and Regeneration privacy policy (PDF ),https://www.dacorum.gov.uk/docs/default-source/opendata/privacy-policies/strategic-planning-and-regeneration-privacy-policy.pdf?sfvrsn=d5490f9e_8,https://www.dacorum.gov.uk/home/planning-development/planning-strategic-planning/new-single-local-plan,strategic-flood-risk-assessment
Harlow-Local-Development-Plan-1,Harlow-Local-Development-Plan,Local'Plan (adopted December 2020),https://harlow.gov.uk/sites/default/files/documents/Harlow%20Local%20Development%20Plan.pdf,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,local-plan
Harlow-Local-Development-Plan-2,Harlow-Local-Development-Plan,Policies map,https://harlow.gov.uk/sites/default/files/documents/Harlow%20Local%20Development%20Plan%20policies%20map_0.pdf,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,policies-map
Harlow-Local-Development-Plan-3,Harlow-Local-Development-Plan,Adoption statement,https://harlow.gov.uk/sites/default/files/documents/Harlow%20Local%20Development%20Plan%20adoption%20statement.pdf,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,adoption-statement
Harlow-Local-Development-Plan-4,Harlow-Local-Development-Plan,Sustainability Appraisal adoption statement,https://harlow.gov.uk/sites/default/files/documents/Susainability%20Appraisal%20adoption%20statement.pdf,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,adoption-statement
Harlow-Local-Development-Plan-5,Harlow-Local-Development-Plan,Habitats Regulations Assessment adoption statement,https://harlow.gov.uk/sites/default/files/documents/Habitats%20Regulations%20Assessment%20adoption%20statement.pdf,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,adoption-statement
Harlow-Local-Development-Plan-6,Harlow-Local-Development-Plan,"supplementary planning documents,",https://harlow.gov.uk/planning-and-building-control/planning-policy/current-local-plan/supplementary-planning-documents,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,supplementary-planning-documents
Harlow-Local-Development-Plan-7,Harlow-Local-Development-Plan,Supplementary planning documents,https://harlow.gov.uk/planning-and-building-control/planning-policy/local-plan/supplementary-planning-documents-and,https://harlow.gov.uk/planning-and-building-control/planning-policy/harlow-local-development-plan/harlow-local,supplementary-planning-documents
southampton_amended_core_strategy_2015-1,southampton_amended_core_strategy_2015,table of policies applying to sites in Southampton,https://www.southampton.gov.uk/media/ydkfr4qc/table-of-policies-applying-to-sites-in-and-outside-the-city-centre.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,policies-map
southampton_amended_core_strategy_2015-2,southampton_amended_core_strategy_2015,Amended Core Strategy inc CSPR Final (13 March 2015),https://www.southampton.gov.uk/media/io4midh4/amended-core-strategy-inc-cspr-final-13-03-2015_tcm63-371354.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,core-strategy
southampton_amended_core_strategy_2015-3,southampton_amended_core_strategy_2015,Amended Core Strategy - Appendix 2 PTAL Map,https://www.southampton.gov.uk/media/kptex10i/100201_appendix_2_-_ptal_map_jan_2010_tcm63-372767.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,core-strategy
southampton_amended_core_strategy_2015-4,southampton_amended_core_strategy_2015,Table of policies applying to sites in Southampton,https://www.southampton.gov.uk/media/wudpwkii/table-of-policies-applying-to-sites-in-southampton_tcm63-372828.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,policies-map
southampton_amended_core_strategy_2015-5,southampton_amended_core_strategy_2015,Core Strategy - Examination Final Report October 2009,https://www.southampton.gov.uk/media/qo5nqbkt/091019_core_strategy_-_examination_final_report_oct_2009_tcm63-372684.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,core-strategy
southampton_amended_core_strategy_2015-6,southampton_amended_core_strategy_2015,Annex 2 - Table of Changes Put Forward,https://www.southampton.gov.uk/media/z22oo24l/091019_annex_2_-_table_of_changes_put_forward_tcm63-372680.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,local-plan
southampton_amended_core_strategy_2015-7,southampton_amended_core_strategy_2015,Annex 3a - Key Diagram,https://www.southampton.gov.uk/media/zugkrf4l/091019_annex_3a_-_key_diagram_tcm63-372681.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,area-action-plan
southampton_amended_core_strategy_2015-8,southampton_amended_core_strategy_2015,Annex 3b - Maps 2 and 3,https://www.southampton.gov.uk/media/fxqnm3a1/091019-annex-3b-maps-2-3_tcm63-372682.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,policies-map
southampton_amended_core_strategy_2015-9,southampton_amended_core_strategy_2015,Annex 4 - Council's New Text for Paragraph 4.3,https://www.southampton.gov.uk/media/abld0i1j/091019_annex_4_-_councils_new_text_for_paragraph_4-3_tcm63-372683.pdf,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,core-strategy
shoreham-harbour-joint-area-action-plan-1,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Complete document,"https://www.adur-worthing.gov.uk/media/Media,159572,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-2,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Part 1,"https://www.adur-worthing.gov.uk/media/Media,147013,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-3,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Part 2,"https://www.adur-worthing.gov.uk/media/Media,147015,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-4,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Part 3,"https://www.adur-worthing.gov.uk/media/Media,147016,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-5,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Part 4,"https://www.adur-worthing.gov.uk/media/Media,147017,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-6,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Appendices,"https://www.adur-worthing.gov.uk/media/Media,147018,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-7,shoreham-harbour-joint-area-action-plan,Adur Policies Map 2019,"https://www.adur-worthing.gov.uk/media/Media,156286,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
shoreham-harbour-joint-area-action-plan-8,shoreham-harbour-joint-area-action-plan,"Adur Policies Map 2019 - Inset maps 1, 2 & 3 (Shoreham, Lancing and Southwick town centres)","https://www.adur-worthing.gov.uk/media/Media,156287,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
shoreham-harbour-joint-area-action-plan-9,shoreham-harbour-joint-area-action-plan,Adur Policies Map 2019 - Inset map 4 (Shoreham Harbour Regeneration Area),"https://www.adur-worthing.gov.uk/media/Media,156288,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,policies-map
shoreham-harbour-joint-area-action-plan-10,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 - Adoption Statement,"https://www.adur-worthing.gov.uk/media/Media,147019,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,local-plan
shoreham-harbour-joint-area-action-plan-11,shoreham-harbour-joint-area-action-plan,Adur Local Plan 2017 (adopted) - Sustainability Appraisal - Post Adoption Statement,"https://www.adur-worthing.gov.uk/media/Media,147020,smxx.pdf",https://www.adur-worthing.gov.uk/adur-local-plan/,adoption-statement
